,i,j,origin_x,origin_y,dest_x,dest_y
2525,21,24,-46.5413,-23.526399999999995,-46.5263,-23.526399999999995
2526,21,24,-46.511300000000006,-23.526399999999995,-46.511300000000006,-23.526399999999995
2527,21,27,-46.5263,-23.511399999999995,-46.5413,-23.526399999999995
2528,22,28,-46.4813,-23.496400000000005,-46.511300000000006,-23.526399999999995
2529,23,26,-46.496300000000005,-23.526399999999995,-46.496300000000005,-23.526399999999995
2530,21,28,-46.511300000000006,-23.526399999999995,-46.4963,-23.496400000000005
2531,21,29,-46.4963,-23.496400000000005,-46.511300000000006,-23.526399999999995
2532,23,29,-46.496300000000005,-23.526399999999995,-46.511300000000006,-23.526399999999995
2533,21,28,-46.4963,-23.496400000000005,-46.4963,-23.496400000000005
2534,23,28,-46.4963,-23.496400000000005,-46.4963,-23.496400000000005
2535,23,29,-46.5413,-23.5414,-46.586299999999994,-23.5414
2536,20,29,-46.586299999999994,-23.5414,-46.5413,-23.5414
2537,20,23,-46.5113,-23.496400000000005,-46.5263,-23.466399999999997
2538,23,26,-46.5113,-23.496400000000005,-46.496300000000005,-23.4814
2539,23,27,-46.5113,-23.496400000000005,-46.496300000000005,-23.4814
2540,23,29,-46.526300000000006,-23.496400000000005,-46.5113,-23.496400000000005
2541,23,29,-46.526300000000006,-23.496400000000005,-46.5113,-23.496400000000005
2542,23,28,-46.5113,-23.496400000000005,-46.5113,-23.496400000000005
2543,23,28,-46.526300000000006,-23.496400000000005,-46.5113,-23.496400000000005
2544,23,28,-46.5113,-23.496400000000005,-46.5113,-23.496400000000005
2545,23,28,-46.526300000000006,-23.496400000000005,-46.5113,-23.496400000000005
2546,23,28,-46.5263,-23.511399999999995,-46.5263,-23.466399999999997
2547,22,28,-46.571299999999994,-23.5414,-46.526300000000006,-23.496400000000005
2548,20,27,-46.526300000000006,-23.496400000000005,-46.526300000000006,-23.496400000000005
2549,23,27,-46.571299999999994,-23.5414,-46.526300000000006,-23.496400000000005
2550,20,27,-46.526300000000006,-23.496400000000005,-46.526300000000006,-23.496400000000005
2551,23,27,-46.571299999999994,-23.5414,-46.526300000000006,-23.496400000000005
2552,20,27,-46.5413,-23.511399999999995,-46.5263,-23.511399999999995
2553,22,27,-46.526300000000006,-23.496400000000005,-46.5413,-23.5414
2554,23,27,-46.5413,-23.5414,-46.526300000000006,-23.496400000000005
2555,20,26,-46.54130000000001,-23.496400000000005,-46.526300000000006,-23.496400000000005
2556,23,27,-46.526300000000006,-23.496400000000005,-46.54130000000001,-23.496400000000005
2557,23,27,-46.54130000000001,-23.496400000000005,-46.526300000000006,-23.496400000000005
2558,23,26,-46.526300000000006,-23.496400000000005,-46.54130000000001,-23.496400000000005
2559,23,27,-46.526300000000006,-23.496400000000005,-46.54130000000001,-23.496400000000005
2560,23,26,-46.526300000000006,-23.496400000000005,-46.5113,-23.496400000000005
2561,23,26,-46.54130000000001,-23.496400000000005,-46.526300000000006,-23.496400000000005
2562,23,28,-46.54130000000001,-23.496400000000005,-46.526300000000006,-23.496400000000005
2563,23,27,-46.54130000000001,-23.496400000000005,-46.526300000000006,-23.496400000000005
2564,23,27,-46.526300000000006,-23.496400000000005,-46.481300000000005,-23.466399999999997
2565,23,27,-46.586299999999994,-23.5414,-46.601299999999995,-23.5414
2566,20,30,-46.601299999999995,-23.5414,-46.586299999999994,-23.5414
2567,20,22,-46.586299999999994,-23.5414,-46.601299999999995,-23.5414
2568,20,23,-46.601299999999995,-23.5414,-46.586299999999994,-23.5414
2569,20,22,-46.5413,-23.511399999999995,-46.5413,-23.511399999999995
2570,22,23,-46.5413,-23.511399999999995,-46.5563,-23.511399999999995
2571,22,26,-46.5413,-23.511399999999995,-46.5563,-23.511399999999995
2572,22,25,-46.5563,-23.511399999999995,-46.5413,-23.511399999999995
2573,22,25,-46.5413,-23.526399999999995,-46.5263,-23.526399999999995
2574,21,26,-46.4963,-23.496400000000005,-46.4813,-23.496400000000005
2575,23,27,-46.4813,-23.496400000000005,-46.4963,-23.496400000000005
2576,23,30,-46.496300000000005,-23.4814,-46.4513,-23.4814
2577,24,29,-46.4513,-23.4814,-46.496300000000005,-23.4814
2578,24,32,-46.4963,-23.496400000000005,-46.4813,-23.496400000000005
2579,23,29,-46.4813,-23.496400000000005,-46.4963,-23.496400000000005
2580,23,30,-46.4813,-23.496400000000005,-46.4813,-23.496400000000005
2581,23,29,-46.4813,-23.496400000000005,-46.4963,-23.496400000000005
2582,23,30,-46.4513,-23.526399999999995,-46.496300000000005,-23.511399999999995
2583,21,29,-46.481300000000005,-23.511399999999995,-46.466300000000004,-23.496400000000005
2584,22,29,-46.481300000000005,-23.511399999999995,-46.466300000000004,-23.496400000000005
2585,22,31,-46.466300000000004,-23.496400000000005,-46.4813,-23.496400000000005
2586,23,31,-46.4813,-23.496400000000005,-46.4813,-23.496400000000005
2587,23,30,-46.4813,-23.496400000000005,-46.4813,-23.496400000000005
2588,23,30,-46.4813,-23.496400000000005,-46.4813,-23.496400000000005
2589,23,30,-46.4813,-23.496400000000005,-46.5413,-23.4814
2590,23,30,-46.466300000000004,-23.496400000000005,-46.4813,-23.496400000000005
2591,23,26,-46.466300000000004,-23.496400000000005,-46.4813,-23.496400000000005
2592,23,30,-46.466300000000004,-23.496400000000005,-46.4813,-23.496400000000005
2593,23,30,-46.466300000000004,-23.496400000000005,-46.4813,-23.496400000000005
2594,23,30,-46.481300000000005,-23.511399999999995,-46.496300000000005,-23.511399999999995
2595,22,30,-46.481300000000005,-23.511399999999995,-46.496300000000005,-23.511399999999995
2596,22,29,-46.5263,-23.511399999999995,-46.511300000000006,-23.511399999999995
2597,22,29,-46.481300000000005,-23.526399999999995,-46.4513,-23.526399999999995
2598,21,28,-46.466300000000004,-23.511399999999995,-46.496300000000005,-23.511399999999995
2599,22,32,-46.496300000000005,-23.511399999999995,-46.466300000000004,-23.511399999999995
2600,22,29,-46.481300000000005,-23.511399999999995,-46.4513,-23.511399999999995
2601,22,31,-46.466300000000004,-23.511399999999995,-46.466300000000004,-23.511399999999995
2602,22,32,-46.466300000000004,-23.496400000000005,-46.4813,-23.496400000000005
2603,23,31,-46.466300000000004,-23.496400000000005,-46.5113,-23.496400000000005
2604,23,30,-46.4513,-23.496400000000005,-46.466300000000004,-23.496400000000005
2605,23,28,-46.39130000000001,-23.511399999999995,-46.436299999999996,-23.496400000000005
2606,22,31,-46.436299999999996,-23.496400000000005,-46.466300000000004,-23.496400000000005
2607,23,33,-46.4513,-23.496400000000005,-46.466300000000004,-23.496400000000005
2608,23,31,-46.39130000000001,-23.511399999999995,-46.436299999999996,-23.496400000000005
2609,22,31,-46.436299999999996,-23.496400000000005,-46.466300000000004,-23.496400000000005
2610,23,33,-46.466300000000004,-23.4814,-46.466300000000004,-23.4814
2611,24,31,-46.466300000000004,-23.4814,-46.466300000000004,-23.4814
2612,24,31,-46.466300000000004,-23.511399999999995,-46.466300000000004,-23.496400000000005
2613,22,31,-46.466300000000004,-23.496400000000005,-46.4813,-23.496400000000005
2614,23,31,-46.4813,-23.496400000000005,-46.466300000000004,-23.496400000000005
2615,23,30,-46.496300000000005,-23.511399999999995,-46.466300000000004,-23.496400000000005
2616,22,31,-46.466300000000004,-23.4814,-46.4813,-23.496400000000005
2617,24,31,-46.4513,-23.511399999999995,-46.421299999999995,-23.496400000000005
2618,22,30,-46.421299999999995,-23.496400000000005,-46.4513,-23.511399999999995
2619,23,34,-46.4513,-23.511399999999995,-46.4513,-23.511399999999995
2620,22,32,-46.4513,-23.511399999999995,-46.421299999999995,-23.496400000000005
2621,22,32,-46.421299999999995,-23.496400000000005,-46.4513,-23.511399999999995
2622,23,34,-46.4513,-23.496400000000005,-46.436299999999996,-23.496400000000005
2623,23,32,-46.436299999999996,-23.496400000000005,-46.4513,-23.496400000000005
2624,23,33,-46.4513,-23.5414,-46.466300000000004,-23.526399999999995
2625,20,32,-46.4363,-23.5414,-46.4363,-23.5414
2626,20,31,-46.4513,-23.5564,-46.4513,-23.5414
2627,19,33,-46.4513,-23.5414,-46.4513,-23.5414
2628,20,32,-46.4513,-23.5414,-46.4513,-23.5414
2629,20,32,-46.4363,-23.5414,-46.4513,-23.526399999999995
2630,20,32,-46.4363,-23.5414,-46.4513,-23.526399999999995
2631,20,32,-46.481300000000005,-23.5414,-46.4363,-23.526399999999995
2632,20,32,-46.40630000000001,-23.496400000000005,-46.4363,-23.526399999999995
2633,23,33,-46.40630000000001,-23.496400000000005,-46.4363,-23.526399999999995
2634,23,33,-46.4363,-23.511399999999995,-46.4363,-23.511399999999995
2635,22,33,-46.4363,-23.511399999999995,-46.4363,-23.511399999999995
2636,22,33,-46.4363,-23.511399999999995,-46.4363,-23.511399999999995
2637,22,33,-46.4363,-23.511399999999995,-46.4213,-23.511399999999995
2638,22,33,-46.4513,-23.4814,-46.4513,-23.496400000000005
2639,24,34,-46.4513,-23.496400000000005,-46.4513,-23.496400000000005
2640,23,32,-46.4513,-23.496400000000005,-46.4513,-23.496400000000005
2641,23,32,-46.601299999999995,-23.5414,-46.6313,-23.526399999999995
2642,20,32,-46.4513,-23.511399999999995,-46.436299999999996,-23.496400000000005
2643,22,20,-46.436299999999996,-23.496400000000005,-46.4213,-23.511399999999995
2644,23,33,-46.436299999999996,-23.496400000000005,-46.4513,-23.511399999999995
2645,23,34,-46.4513,-23.511399999999995,-46.436299999999996,-23.496400000000005
2646,22,32,-46.4363,-23.511399999999995,-46.466300000000004,-23.5414
2647,22,33,-46.466300000000004,-23.5414,-46.4363,-23.511399999999995
2648,20,31,-46.436299999999996,-23.496400000000005,-46.4363,-23.4814
2649,23,33,-46.436299999999996,-23.496400000000005,-46.4363,-23.4814
2650,23,33,-46.436299999999996,-23.496400000000005,-46.4363,-23.4814
2651,23,33,-46.436299999999996,-23.496400000000005,-46.436299999999996,-23.496400000000005
2652,23,33,-46.436299999999996,-23.496400000000005,-46.436299999999996,-23.496400000000005
2653,23,33,-46.4363,-23.511399999999995,-46.4363,-23.511399999999995
2654,22,33,-46.4363,-23.511399999999995,-46.4363,-23.511399999999995
